date,machine_id,production_line,shift,units_produced,defect_count,good_units,downtime_hours,maintenance_cost,oee_score,availability,performance,quality
2024-01-03,Machine_09,Line_B,Morning,101,1,100,0.32,62.49,97.95,98.65,101.0,98.31
2024-01-03,Machine_10,Line_D,Evening,108,1,107,0.58,114.45,104.21,97.58,108.0,98.88
2024-01-04,Machine_01,Line_D,Night,119,2,117,0.18,47.84,115.77,99.26,119.0,98.0
2024-01-04,Machine_02,Line_C,Morning,88,2,86,0.15,19.74,85.01,99.37,88.0,97.21
2024-01-04,Machine_03,Line_C,Night,105,2,103,0.53,82.37,99.9,97.78,105.0,97.3
2024-01-04,Machine_04,Line_B,Evening,89,3,86,0.34,101.05,83.84,98.56,89.0,95.58
2024-01-04,Machine_05,Line_A,Night,85,2,83,0.35,104.15,81.71,98.55,85.0,97.54
2024-01-04,Machine_06,Line_C,Night,109,4,105,0.65,70.33,101.8,97.3,109.0,95.98
2024-01-04,Machine_07,Line_C,Night,82,2,80,0.39,85.79,78.61,98.39,82.0,97.43
2024-01-04,Machine_08,Line_A,Evening,106,2,104,0.22,25.51,102.59,99.1,106.0,97.66
2024-01-04,Machine_09,Line_C,Evening,82,2,80,0.04,9.72,79.65,99.85,82.0,97.28
2024-01-04,Machine_10,Line_B,Evening,93,3,90,0.03,3.58,89.05,99.89,93.0,95.85
2024-01-05,Machine_01,Line_C,Evening,116,3,113,0.07,11.55,111.84,99.69,116.0,96.72
2024-01-05,Machine_02,Line_C,Morning,98,1,97,0.53,103.2,93.97,97.78,98.0,98.07
2024-01-05,Machine_03,Line_C,Morning,100,2,98,0.21,62.66,96.31,99.11,100.0,97.17
2024-01-05,Machine_04,Line_C,Evening,82,2,80,0.96,118.63,76.0,96.02,82.0,96.53
2024-01-05,Machine_05,Line_D,Night,80,3,77,0.64,90.96,74.89,97.35,80.0,96.16
2024-01-05,Machine_06,Line_A,Morning,100,4,96,1.81,246.44,88.58,92.46,100.0,95.8
2024-01-05,Machine_07,Line_B,Evening,109,2,107,0.2,31.47,105.92,99.15,109.0,98.0
2024-01-05,Machine_08,Line_C,Night,105,3,102,1.58,435.35,95.28,93.42,105.0,97.13
2024-01-05,Machine_09,Line_B,Morning,118,3,115,1.25,127.47,108.08,94.79,118.0,96.63
2024-01-05,Machine_10,Line_A,Evening,119,1,118,1.21,214.94,111.46,94.95,119.0,98.64
2024-01-06,Machine_01,Line_B,Evening,96,2,94,0.42,101.51,91.69,98.26,96.0,97.2
2024-01-06,Machine_02,Line_C,Night,118,1,117,0.88,160.71,112.37,96.32,118.0,98.86
2024-01-06,Machine_03,Line_A,Morning,109,2,107,0.01,3.21,106.75,99.95,109.0,97.98
2024-01-06,Machine_04,Line_D,Morning,103,2,101,0.34,99.69,99.3,98.58,103.0,97.8
2024-01-06,Machine_05,Line_B,Night,96,2,94,0.23,53.0,92.24,99.05,96.0,97.01
2024-01-06,Machine_06,Line_D,Night,86,2,84,0.48,71.44,81.72,97.99,86.0,96.98
2024-01-06,Machine_07,Line_A,Evening,99,2,97,0.51,74.93,94.61,97.89,99.0,97.62
2024-01-06,Machine_08,Line_D,Evening,119,3,116,2.64,341.78,103.09,89.01,119.0,97.33
2024-01-06,Machine_09,Line_C,Morning,83,3,80,0.32,80.22,78.84,98.66,83.0,96.28
2024-01-06,Machine_10,Line_B,Night,113,2,111,0.62,80.11,107.25,97.42,113.0,97.42
2024-01-07,Machine_01,Line_D,Evening,114,5,109,0.01,2.41,108.87,99.95,114.0,95.55
2024-01-07,Machine_02,Line_A,Evening,101,2,99,0.73,209.59,95.76,96.98,101.0,97.76
2024-01-07,Machine_03,Line_B,Morning,98,2,96,0.56,161.1,92.94,97.65,98.0,97.12
2024-01-07,Machine_04,Line_B,Evening,96,2,94,1.19,331.67,88.91,95.06,96.0,97.43
2024-01-07,Machine_05,Line_B,Evening,113,3,110,0.96,197.72,104.97,96.01,113.0,96.76
2024-01-07,Machine_06,Line_B,Evening,110,3,107,0.73,160.0,103.41,96.97,110.0,96.94
2024-01-07,Machine_07,Line_A,Morning,104,2,102,0.13,35.58,101.35,99.46,104.0,97.98
2024-01-07,Machine_08,Line_B,Morning,103,4,99,0.25,46.97,97.78,98.96,103.0,95.93
2024-01-07,Machine_09,Line_D,Evening,111,5,106,0.53,156.72,103.48,97.79,111.0,95.33
2024-01-07,Machine_10,Line_B,Night,105,2,103,0.08,11.24,102.57,99.66,105.0,98.02
2024-01-08,Machine_01,Line_C,Evening,83,3,80,0.4,83.95,77.97,98.35,83.0,95.51
2024-01-08,Machine_02,Line_C,Evening,88,3,85,0.02,2.53,84.22,99.92,88.0,95.77
2024-01-08,Machine_03,Line_B,Evening,83,2,81,0.47,104.22,78.83,98.04,83.0,96.88
2024-01-08,Machine_04,Line_C,Night,87,1,86,0.31,71.15,84.8,98.73,87.0,98.73
2024-01-08,Machine_05,Line_C,Evening,118,2,116,0.14,22.86,114.77,99.42,118.0,97.83
2024-01-08,Machine_06,Line_A,Night,105,2,103,0.28,30.2,101.43,98.82,105.0,97.75
2024-01-08,Machine_07,Line_A,Night,93,4,89,0.02,2.56,88.76,99.92,93.0,95.52
2024-01-08,Machine_08,Line_A,Evening,93,2,91,0.28,42.15,89.93,98.84,93.0,97.83
2024-01-08,Machine_09,Line_D,Night,86,1,85,0.91,178.36,80.94,96.2,86.0,97.83
2024-01-08,Machine_10,Line_D,Night,84,1,83,0.11,23.75,82.27,99.56,84.0,98.37
2024-01-09,Machine_01,Line_D,Morning,118,3,115,0.39,115.88,112.18,98.39,118.0,96.63
2024-01-09,Machine_02,Line_D,Evening,117,1,116,0.35,43.51,113.81,98.55,117.0,98.71
2024-01-09,Machine_03,Line_D,Evening,118,1,117,0.23,43.14,115.24,99.03,118.0,98.62
2024-01-09,Machine_04,Line_A,Morning,105,4,101,0.26,28.47,99.36,98.92,105.0,95.66
2024-01-09,Machine_05,Line_A,Morning,92,2,90,0.14,31.62,88.78,99.41,92.0,97.07
2024-01-09,Machine_06,Line_C,Night,85,3,82,1.87,512.2,74.9,92.22,85.0,95.55
2024-01-09,Machine_07,Line_C,Morning,101,3,98,0.03,9.09,96.99,99.87,101.0,96.15
2024-01-09,Machine_08,Line_C,Night,104,2,102,0.46,99.16,99.24,98.07,104.0,97.3
2024-01-09,Machine_09,Line_B,Morning,91,3,88,1.19,211.47,83.43,95.04,91.0,96.47
2024-01-09,Machine_10,Line_C,Night,102,1,101,0.44,48.25,98.93,98.16,102.0,98.81
2024-01-10,Machine_01,Line_A,Evening,92,1,91,1.33,150.87,85.82,94.45,92.0,98.77
2024-01-10,Machine_02,Line_D,Morning,106,2,104,0.85,132.75,99.52,96.47,106.0,97.32
2024-01-10,Machine_03,Line_D,Morning,94,1,93,0.57,58.81,90.21,97.63,94.0,98.3
2024-01-10,Machine_04,Line_A,Evening,102,1,101,0.14,30.0,100.22,99.43,102.0,98.82
2024-01-10,Machine_05,Line_B,Evening,96,4,92,0.69,109.46,88.74,97.14,96.0,95.16
2024-01-10,Machine_06,Line_A,Morning,96,3,93,0.31,74.42,91.51,98.72,96.0,96.56
2024-01-10,Machine_07,Line_C,Night,106,5,101,0.43,84.65,99.07,98.21,106.0,95.17
2024-01-10,Machine_08,Line_B,Night,92,2,90,1.47,287.87,83.98,93.88,92.0,97.23
2024-01-10,Machine_09,Line_D,Morning,110,2,108,0.62,133.9,104.41,97.42,110.0,97.43
2024-01-10,Machine_10,Line_C,Evening,102,2,100,0.92,118.58,95.51,96.17,102.0,97.37
2024-01-11,Machine_01,Line_D,Night,112,2,110,0.36,101.36,108.21,98.5,112.0,98.08
2024-01-11,Machine_02,Line_A,Morning,116,5,111,0.35,83.67,108.96,98.53,116.0,95.34
2024-01-11,Machine_03,Line_B,Evening,112,2,110,0.21,30.02,108.67,99.13,112.0,97.88
2024-01-11,Machine_04,Line_D,Night,89,4,85,0.47,130.33,83.26,98.03,89.0,95.44
2024-01-11,Machine_05,Line_A,Evening,92,2,90,0.87,222.68,86.39,96.37,92.0,97.44
2024-01-11,Machine_06,Line_D,Morning,117,2,115,0.25,39.71,113.12,98.97,117.0,97.68
2024-01-11,Machine_07,Line_D,Evening,93,1,92,0.11,25.16,91.41,99.53,93.0,98.75
2024-01-11,Machine_08,Line_D,Evening,111,5,106,1.22,337.82,100.26,94.93,111.0,95.15
2024-01-11,Machine_09,Line_A,Morning,104,4,100,0.82,198.76,96.19,96.56,104.0,95.78
2024-01-11,Machine_10,Line_C,Morning,116,5,111,0.22,41.95,109.29,99.09,116.0,95.08
2024-01-12,Machine_01,Line_A,Evening,103,4,99,0.03,6.06,98.66,99.88,103.0,95.9
2024-01-12,Machine_02,Line_D,Night,111,1,110,0.19,40.71,108.77,99.2,111.0,98.78
2024-01-12,Machine_03,Line_A,Evening,80,2,78,1.89,333.19,71.65,92.11,80.0,97.24
2024-01-12,Machine_04,Line_A,Morning,107,2,105,0.97,206.78,100.39,95.97,107.0,97.77
2024-01-12,Machine_05,Line_C,Morning,111,1,110,1.11,272.11,104.68,95.36,111.0,98.89
2024-01-12,Machine_06,Line_C,Evening,110,4,106,0.06,10.29,105.05,99.73,110.0,95.76
2024-01-12,Machine_07,Line_D,Evening,83,2,81,0.52,81.36,79.01,97.84,83.0,97.29
2024-01-12,Machine_08,Line_D,Morning,106,5,101,0.25,37.12,99.87,98.94,106.0,95.23
2024-01-12,Machine_09,Line_B,Night,102,2,100,0.57,92.38,97.01,97.64,102.0,97.41
2024-01-12,Machine_10,Line_D,Evening,94,0,94,0.16,36.39,92.4,99.31,94.0,98.98
2024-01-13,Machine_01,Line_C,Night,84,3,81,0.27,65.9,79.16,98.89,84.0,95.29
2024-01-13,Machine_02,Line_C,Evening,106,1,105,0.3,42.34,103.12,98.76,106.0,98.5
2024-01-13,Machine_03,Line_C,Morning,95,4,91,0.16,20.35,90.0,99.33,95.0,95.38
2024-01-13,Machine_04,Line_D,Morning,94,1,93,0.13,15.03,92.26,99.44,94.0,98.7
2024-01-13,Machine_05,Line_A,Night,99,2,97,0.24,64.44,95.68,98.98,99.0,97.64
2024-01-13,Machine_06,Line_D,Morning,88,1,87,0.09,16.73,86.57,99.62,88.0,98.75
2024-01-13,Machine_07,Line_D,Morning,106,1,105,0.28,41.28,103.48,98.84,106.0,98.77
2024-01-13,Machine_08,Line_A,Night,97,3,94,1.38,202.92,87.86,94.27,97.0,96.09
2024-01-13,Machine_09,Line_C,Morning,116,2,114,0.39,113.86,111.52,98.39,116.0,97.71
2024-01-13,Machine_10,Line_D,Evening,110,3,107,0.48,73.8,103.91,97.99,110.0,96.4
2024-01-14,Machine_01,Line_C,Morning,85,1,84,2.98,608.83,73.53,87.6,85.0,98.76
2024-01-14,Machine_02,Line_C,Night,107,1,106,1.29,139.49,99.91,94.63,107.0,98.68
2024-01-14,Machine_03,Line_C,Morning,100,2,98,0.29,48.76,96.67,98.81,100.0,97.84
2024-01-14,Machine_04,Line_C,Evening,105,1,104,0.59,107.25,100.61,97.54,105.0,98.24
2024-01-14,Machine_05,Line_B,Night,109,2,107,0.18,21.08,105.66,99.23,109.0,97.69
2024-01-14,Machine_06,Line_C,Night,101,2,99,1.21,318.62,93.12,94.96,101.0,97.09
2024-01-14,Machine_07,Line_C,Morning,108,4,104,1.02,255.81,99.43,95.73,108.0,96.17
2024-01-14,Machine_08,Line_D,Night,90,3,87,1.13,278.05,82.19,95.3,90.0,95.82
2024-01-14,Machine_09,Line_B,Night,115,3,112,0.47,133.63,108.83,98.04,115.0,96.53
2024-01-14,Machine_10,Line_A,Evening,102,4,98,0.88,217.1,93.58,96.32,102.0,95.26
2024-01-15,Machine_01,Line_D,Evening,86,2,84,0.86,117.55,80.05,96.4,86.0,96.56
2024-01-15,Machine_02,Line_A,Night,98,2,96,0.01,1.77,95.73,99.97,98.0,97.71
2024-01-15,Machine_03,Line_B,Evening,89,2,87,0.61,154.19,84.15,97.47,89.0,97.01
2024-01-15,Machine_04,Line_C,Evening,91,3,88,0.56,131.2,85.92,97.65,91.0,96.7
2024-01-15,Machine_05,Line_C,Morning,114,2,112,0.42,107.53,109.41,98.23,114.0,97.7
2024-01-15,Machine_06,Line_D,Morning,114,5,109,1.84,534.97,100.66,92.35,114.0,95.61
2024-01-15,Machine_07,Line_B,Night,117,4,113,0.36,52.48,111.11,98.48,117.0,96.43
2024-01-15,Machine_08,Line_B,Evening,82,1,81,0.34,42.78,78.98,98.58,82.0,97.71
2024-01-15,Machine_09,Line_C,Evening,95,4,91,0.59,60.15,88.69,97.52,95.0,95.73
2024-01-15,Machine_10,Line_D,Evening,104,1,103,0.07,8.34,102.39,99.72,104.0,98.73
2024-01-16,Machine_01,Line_A,Evening,91,2,89,0.5,119.04,86.53,97.93,91.0,97.1
2024-01-16,Machine_02,Line_D,Night,84,3,81,0.21,48.36,79.55,99.13,84.0,95.53
2024-01-16,Machine_03,Line_D,Evening,104,2,102,0.39,50.59,100.19,98.39,104.0,97.91
2024-01-16,Machine_04,Line_D,Night,86,3,83,0.55,125.56,80.71,97.72,86.0,96.05
2024-01-16,Machine_05,Line_B,Morning,84,3,81,0.33,43.93,79.18,98.61,84.0,95.59
2024-01-16,Machine_06,Line_B,Evening,111,2,109,0.55,137.8,105.69,97.72,111.0,97.44
2024-01-16,Machine_07,Line_C,Evening,100,3,97,0.14,35.61,96.13,99.43,100.0,96.69
2024-01-16,Machine_08,Line_A,Morning,106,1,105,0.12,21.07,104.43,99.52,106.0,99.0
2024-01-16,Machine_09,Line_B,Evening,95,3,92,0.04,10.0,91.7,99.82,95.0,96.7
2024-01-16,Machine_10,Line_C,Morning,117,2,115,0.62,99.05,111.81,97.42,117.0,98.09
2024-01-17,Machine_01,Line_C,Night,89,1,88,0.36,84.8,85.76,98.49,89.0,97.84
2024-01-17,Machine_02,Line_B,Evening,91,3,88,2.08,329.86,80.27,91.32,91.0,96.59
2024-01-17,Machine_03,Line_D,Morning,97,1,96,0.45,111.55,93.5,98.13,97.0,98.24
2024-01-17,Machine_04,Line_B,Night,103,2,101,0.19,30.12,99.3,99.2,103.0,97.19
2024-01-17,Machine_05,Line_C,Night,108,4,104,0.12,28.98,102.95,99.49,108.0,95.81
2024-01-17,Machine_06,Line_B,Morning,104,3,101,0.26,41.85,99.69,98.9,104.0,96.92
2024-01-17,Machine_07,Line_B,Morning,80,3,77,0.95,140.2,73.55,96.03,80.0,95.73
2024-01-17,Machine_08,Line_D,Morning,88,4,84,1.17,165.2,79.76,95.14,88.0,95.27
2024-01-17,Machine_09,Line_A,Morning,88,1,87,1.19,341.25,82.14,95.03,88.0,98.22
2024-01-17,Machine_10,Line_D,Morning,86,2,84,0.85,203.78,80.67,96.44,86.0,97.27
2024-01-18,Machine_01,Line_B,Night,80,1,79,0.02,2.93,78.76,99.93,80.0,98.52
2024-01-18,Machine_02,Line_D,Night,113,4,109,0.87,209.24,104.67,96.38,113.0,96.11
2024-01-18,Machine_03,Line_D,Morning,116,4,112,0.95,138.92,106.62,96.05,116.0,95.69
2024-01-18,Machine_04,Line_A,Evening,86,1,85,0.39,94.44,83.31,98.38,86.0,98.46
2024-01-18,Machine_05,Line_C,Evening,81,1,80,0.48,97.44,78.13,97.98,81.0,98.44
2024-01-18,Machine_06,Line_C,Morning,84,3,81,0.24,28.21,79.88,99.0,84.0,96.06
2024-01-18,Machine_07,Line_A,Night,106,1,105,1.67,202.36,96.96,93.06,106.0,98.29
2024-01-18,Machine_08,Line_B,Evening,82,1,81,0.61,125.85,78.92,97.48,82.0,98.74
2024-01-18,Machine_09,Line_C,Evening,87,2,85,0.42,95.18,82.61,98.26,87.0,96.63
2024-01-18,Machine_10,Line_C,Evening,102,3,99,0.28,59.33,97.77,98.81,102.0,97.01
2024-01-19,Machine_01,Line_A,Night,95,3,92,0.02,5.82,91.64,99.9,95.0,96.56
2024-01-19,Machine_02,Line_A,Night,118,3,115,0.74,200.86,110.63,96.93,118.0,96.73
2024-01-19,Machine_03,Line_B,Night,110,1,109,0.79,146.07,104.91,96.71,110.0,98.61
2024-01-19,Machine_04,Line_B,Evening,82,1,81,0.13,20.39,79.68,99.45,82.0,97.7
2024-01-19,Machine_05,Line_D,Morning,118,3,115,0.24,70.26,113.55,99.01,118.0,97.19
2024-01-19,Machine_06,Line_A,Night,111,5,106,0.08,21.6,105.3,99.67,111.0,95.18
2024-01-19,Machine_07,Line_B,Evening,87,1,86,0.69,77.25,82.9,97.14,87.0,98.09
2024-01-19,Machine_08,Line_A,Night,111,4,107,1.19,141.2,101.47,95.03,111.0,96.2
2024-01-19,Machine_09,Line_D,Night,116,5,111,1.98,449.92,101.3,91.76,116.0,95.17
2024-01-19,Machine_10,Line_B,Morning,108,5,103,0.28,39.54,101.61,98.81,108.0,95.22
2024-01-20,Machine_01,Line_B,Night,106,2,104,0.02,5.14,103.8,99.93,106.0,98.0
2024-01-20,Machine_02,Line_C,Morning,84,1,83,0.46,90.64,81.06,98.07,84.0,98.4
2024-01-20,Machine_03,Line_D,Morning,113,2,111,0.15,21.58,109.6,99.38,113.0,97.6
2024-01-20,Machine_04,Line_B,Night,108,2,106,0.21,36.76,104.81,99.11,108.0,97.92
2024-01-20,Machine_05,Line_D,Evening,120,1,119,0.2,31.51,117.57,99.16,120.0,98.81
2024-01-20,Machine_06,Line_D,Night,113,4,109,1.77,421.89,100.54,92.62,113.0,96.07
2024-01-20,Machine_07,Line_B,Morning,119,2,117,0.72,139.76,112.97,97.02,119.0,97.85
2024-01-20,Machine_08,Line_A,Evening,109,4,105,0.37,65.53,103.23,98.45,109.0,96.19
2024-01-20,Machine_09,Line_B,Evening,101,3,98,1.06,210.93,93.28,95.57,101.0,96.63
2024-01-20,Machine_10,Line_D,Evening,117,5,112,0.25,60.38,110.28,98.98,117.0,95.23
2024-01-21,Machine_01,Line_D,Morning,120,3,117,0.2,47.26,115.98,99.16,120.0,97.47
2024-01-21,Machine_02,Line_A,Morning,109,2,107,0.52,54.52,104.14,97.85,109.0,97.64
2024-01-21,Machine_03,Line_D,Night,83,3,80,0.08,18.87,79.69,99.68,83.0,96.32
2024-01-21,Machine_04,Line_B,Evening,81,1,80,0.07,15.77,79.48,99.71,81.0,98.41
2024-01-21,Machine_05,Line_C,Morning,101,3,98,0.01,1.73,97.5,99.94,101.0,96.59
2024-01-21,Machine_06,Line_B,Morning,114,4,110,0.39,106.78,107.83,98.36,114.0,96.17
2024-01-21,Machine_07,Line_C,Night,89,3,86,0.78,155.89,82.65,96.75,89.0,95.99
2024-01-21,Machine_08,Line_D,Morning,81,1,80,0.2,46.67,78.58,99.16,81.0,97.84
2024-01-21,Machine_09,Line_A,Night,97,3,94,1.22,216.05,88.46,94.93,97.0,96.07
2024-01-21,Machine_10,Line_B,Night,84,2,82,0.62,143.98,79.22,97.4,84.0,96.83
2024-01-22,Machine_01,Line_D,Night,105,2,103,0.01,1.32,102.08,99.95,105.0,97.27
2024-01-22,Machine_02,Line_B,Night,113,5,108,0.71,201.23,104.68,97.02,113.0,95.48
2024-01-22,Machine_03,Line_C,Night,88,2,86,0.49,134.54,83.88,97.96,88.0,97.31
2024-01-22,Machine_04,Line_B,Night,119,5,114,0.23,38.95,112.59,99.06,119.0,95.52
2024-01-22,Machine_05,Line_A,Evening,109,1,108,0.02,5.21,107.26,99.92,109.0,98.48
2024-01-22,Machine_06,Line_C,Evening,118,3,115,0.39,67.69,112.38,98.38,118.0,96.8
2024-01-22,Machine_07,Line_B,Morning,113,4,109,0.08,13.03,108.16,99.65,113.0,96.05
2024-01-22,Machine_08,Line_A,Night,81,1,80,0.59,156.54,77.27,97.53,81.0,97.81
2024-01-22,Machine_09,Line_D,Night,107,4,103,0.11,27.18,101.64,99.54,107.0,95.43
2024-01-22,Machine_10,Line_C,Night,111,2,109,0.63,90.88,105.43,97.38,111.0,97.54
2024-01-23,Machine_01,Line_D,Night,82,1,81,1.38,265.22,75.39,94.24,82.0,97.56
2024-01-23,Machine_02,Line_B,Night,103,3,100,0.56,107.18,97.01,97.67,103.0,96.44
2024-01-23,Machine_03,Line_D,Evening,110,1,109,0.11,17.02,107.97,99.55,110.0,98.6
2024-01-23,Machine_04,Line_B,Night,88,2,86,1.92,285.96,78.89,91.99,88.0,97.45
2024-01-23,Machine_05,Line_B,Night,111,4,107,0.12,32.8,105.65,99.49,111.0,95.67
2024-01-23,Machine_06,Line_C,Morning,89,2,87,0.34,86.66,85.63,98.6,89.0,97.58
2024-01-23,Machine_07,Line_A,Night,97,1,96,1.3,213.66,90.59,94.57,97.0,98.76
2024-01-23,Machine_08,Line_B,Night,87,3,84,0.7,170.54,80.96,97.08,87.0,95.85
2024-01-23,Machine_09,Line_A,Morning,85,2,83,0.52,152.52,80.64,97.82,85.0,96.99
2024-01-23,Machine_10,Line_D,Morning,108,3,105,1.49,322.89,98.35,93.79,108.0,97.09
2024-01-24,Machine_01,Line_A,Night,105,1,104,0.68,187.09,100.84,97.18,105.0,98.83
2024-01-24,Machine_02,Line_C,Evening,99,4,95,0.4,85.65,92.97,98.35,99.0,95.49
2024-01-24,Machine_03,Line_D,Morning,116,4,112,2.12,226.16,101.58,91.18,116.0,96.03
2024-01-24,Machine_04,Line_A,Evening,88,0,88,0.07,19.44,86.85,99.72,88.0,98.97
2024-01-24,Machine_05,Line_C,Night,92,1,91,1.09,140.58,86.28,95.46,92.0,98.24
2024-01-24,Machine_06,Line_B,Night,96,2,94,0.05,10.75,93.38,99.79,96.0,97.48
2024-01-24,Machine_07,Line_D,Morning,119,5,114,0.94,169.98,108.94,96.06,119.0,95.3
2024-01-24,Machine_08,Line_A,Morning,111,3,108,0.82,176.07,104.16,96.6,111.0,97.14
2024-01-24,Machine_09,Line_C,Morning,113,1,112,0.09,11.28,111.2,99.61,113.0,98.79
2024-01-24,Machine_10,Line_B,Night,117,1,116,0.29,43.98,114.17,98.78,117.0,98.78
2024-01-25,Machine_01,Line_B,Evening,120,2,118,0.01,1.76,117.67,99.96,120.0,98.1
2024-01-25,Machine_02,Line_C,Evening,92,3,89,0.48,137.74,86.85,98.0,92.0,96.32
2024-01-25,Machine_03,Line_C,Night,87,1,86,0.7,90.22,82.88,97.07,87.0,98.15
2024-01-25,Machine_04,Line_B,Night,104,1,103,0.14,37.34,101.45,99.43,104.0,98.11
2024-01-25,Machine_05,Line_B,Morning,89,1,88,0.83,169.99,84.15,96.52,89.0,97.95
2024-01-25,Machine_06,Line_D,Morning,115,4,111,0.42,118.51,108.81,98.26,115.0,96.29
2024-01-25,Machine_07,Line_D,Night,102,3,99,0.83,183.93,95.36,96.56,102.0,96.83
2024-01-25,Machine_08,Line_B,Night,99,4,95,0.01,2.73,94.3,99.95,99.0,95.3
2024-01-25,Machine_09,Line_B,Night,98,2,96,0.61,137.14,92.88,97.48,98.0,97.23
2024-01-25,Machine_10,Line_A,Morning,89,4,85,0.17,20.52,84.0,99.28,89.0,95.07
2024-01-26,Machine_01,Line_C,Night,113,2,111,0.14,32.52,109.65,99.42,113.0,97.6
2024-01-26,Machine_02,Line_B,Night,110,4,106,0.72,125.28,102.33,97.02,110.0,95.88
2024-01-26,Machine_03,Line_C,Evening,111,4,107,1.05,178.03,101.36,95.6,111.0,95.52
2024-01-26,Machine_04,Line_C,Morning,97,1,96,0.0,0.12,95.39,100.0,97.0,98.34
2024-01-26,Machine_05,Line_C,Morning,114,4,110,1.39,319.85,103.46,94.22,114.0,96.33
2024-01-26,Machine_06,Line_A,Morning,105,3,102,0.04,8.85,101.72,99.84,105.0,97.03
2024-01-26,Machine_07,Line_C,Morning,114,3,111,0.37,90.6,108.42,98.45,114.0,96.61
2024-01-26,Machine_08,Line_C,Morning,88,3,85,0.07,12.81,83.97,99.69,88.0,95.72
2024-01-26,Machine_09,Line_B,Morning,118,4,114,0.05,10.28,113.52,99.8,118.0,96.4
2024-01-26,Machine_10,Line_B,Morning,99,2,97,0.06,17.3,95.96,99.76,99.0,97.16
2024-01-27,Machine_01,Line_D,Morning,118,5,113,0.24,54.35,111.69,98.99,118.0,95.62
2024-01-27,Machine_02,Line_C,Evening,120,5,115,0.19,40.98,113.23,99.22,120.0,95.1
2024-01-27,Machine_03,Line_A,Evening,89,2,87,0.11,29.63,85.63,99.52,89.0,96.67
2024-01-27,Machine_04,Line_A,Night,107,1,106,0.53,61.9,103.46,97.77,107.0,98.89
2024-01-27,Machine_05,Line_C,Night,118,3,115,1.23,135.65,108.52,94.86,118.0,96.96
2024-01-27,Machine_06,Line_B,Evening,119,1,118,2.57,349.15,104.7,89.31,119.0,98.52
2024-01-27,Machine_07,Line_B,Evening,120,3,117,0.5,127.54,114.53,97.92,120.0,97.46
2024-01-27,Machine_08,Line_A,Evening,82,1,81,1.65,488.64,74.71,93.14,82.0,97.82
