date,account_type,transaction_amount,category,department,budget,variance,transaction_id,vendor,approved_by
2024-04-30,Expense,12529.35,Training,Sales,12922.64,-393.29,TXN98604,Vendor_22,Manager_7
2024-04-30,Expense,4805.1,Training,Marketing,4636.04,169.06,TXN96498,Vendor_24,Manager_1
2024-04-30,Expense,4648.67,Miscellaneous,Finance,4213.71,434.96,TXN79440,Vendor_44,Manager_6
2024-04-30,Revenue,379811.43,Utilities,Engineering,303849.15,75962.29,TXN71936,Vendor_45,Manager_9
2024-04-30,Expense,18805.14,Office Rent,Sales,17839.89,965.25,TXN36065,Vendor_21,Manager_7
2024-04-30,Revenue,85112.9,Salaries,HR,68090.32,17022.58,TXN63796,Vendor_14,Manager_8
2024-04-30,Expense,6228.59,Equipment,HR,6599.56,-370.96,TXN51184,Vendor_39,Manager_3
2024-04-30,Expense,13477.36,Travel,Finance,13402.27,75.09,TXN10310,Vendor_9,Manager_5
2024-04-30,Revenue,482194.21,Salaries,Operations,385755.37,96438.84,TXN99937,Vendor_38,Manager_1
2024-04-30,Expense,12891.72,Software/Tools,Finance,13495.43,-603.71,TXN76112,Vendor_25,Manager_6
2024-04-30,Expense,9253.5,Training,Finance,8717.17,536.33,TXN87558,Vendor_25,Manager_5
2024-04-30,Expense,13839.03,Software/Tools,HR,13049.23,789.81,TXN92481,Vendor_26,Manager_8
2024-04-30,Expense,113026.39,Salaries,Sales,120266.28,-7239.89,TXN46549,Vendor_36,Manager_2
2024-04-30,Revenue,82766.96,Miscellaneous,Marketing,66213.57,16553.39,TXN19866,Vendor_8,Manager_9
2024-04-30,Expense,111613.21,Salaries,Finance,114143.93,-2530.72,TXN68719,Vendor_15,Manager_5
2024-04-30,Expense,19288.82,Equipment,HR,17955.97,1332.85,TXN32114,Vendor_25,Manager_2
2024-04-30,Revenue,103487.52,Training,Finance,82790.02,20697.5,TXN54031,Vendor_2,Manager_4
2024-04-30,Investment,61331.93,Office Rent,Sales,61331.93,0.0,TXN85705,Vendor_7,Manager_3
2024-04-30,Expense,165089.31,Salaries,HR,167996.27,-2906.96,TXN20589,Vendor_4,Manager_2
2024-04-30,Expense,22827.91,Marketing,HR,24071.01,-1243.1,TXN98096,Vendor_3,Manager_4
2024-04-30,Expense,7124.4,Utilities,Finance,7438.54,-314.14,TXN81447,Vendor_28,Manager_9
2024-04-30,Expense,8528.23,Travel,Operations,7901.96,626.27,TXN40898,Vendor_1,Manager_5
2024-04-30,Expense,5897.72,Software/Tools,HR,5499.61,398.11,TXN77487,Vendor_3,Manager_4
2024-04-30,Expense,17302.58,Training,Finance,16230.6,1071.98,TXN93330,Vendor_35,Manager_2
2024-04-30,Expense,4704.23,Utilities,Marketing,4715.73,-11.5,TXN62621,Vendor_2,Manager_6
2024-04-30,Expense,14083.33,Marketing,HR,13108.04,975.29,TXN47236,Vendor_43,Manager_1
2024-04-30,Expense,16311.86,Professional Services,Marketing,14784.81,1527.05,TXN82838,Vendor_13,Manager_7
2024-04-30,Expense,14632.07,Miscellaneous,Marketing,14680.66,-48.59,TXN51226,Vendor_16,Manager_5
2024-04-30,Expense,15910.74,Miscellaneous,Sales,16386.44,-475.7,TXN24530,Vendor_31,Manager_7
2024-04-30,Expense,12863.14,Training,Sales,11746.18,1116.96,TXN61496,Vendor_11,Manager_3
2024-04-30,Expense,19609.39,Equipment,Operations,18081.2,1528.19,TXN24412,Vendor_38,Manager_3
2024-04-30,Revenue,140004.77,Equipment,Sales,112003.81,28000.95,TXN93775,Vendor_16,Manager_4
2024-04-30,Investment,65523.66,Salaries,HR,65523.66,0.0,TXN82939,Vendor_11,Manager_9
2024-04-30,Expense,12804.64,Equipment,Operations,11643.37,1161.28,TXN96525,Vendor_39,Manager_1
2024-04-30,Revenue,298469.22,Miscellaneous,Finance,238775.38,59693.84,TXN66997,Vendor_46,Manager_3
2024-04-30,Expense,12350.64,Training,Sales,11766.31,584.33,TXN47448,Vendor_19,Manager_8
2024-04-30,Expense,16604.06,Software/Tools,Finance,15598.85,1005.22,TXN64994,Vendor_6,Manager_5
2024-05-30,Expense,9173.12,Professional Services,HR,8289.92,883.2,TXN10382,Vendor_37,Manager_2
2024-05-30,Expense,11111.54,Miscellaneous,Sales,10148.19,963.35,TXN57883,Vendor_23,Manager_4
2024-05-30,Revenue,90747.36,Training,Sales,72597.89,18149.47,TXN81341,Vendor_16,Manager_2
2024-05-30,Expense,8599.9,Travel,Marketing,8965.83,-365.93,TXN18505,Vendor_19,Manager_2
2024-05-30,Expense,5614.43,Professional Services,Sales,5239.68,374.75,TXN63273,Vendor_1,Manager_1
2024-05-30,Expense,29027.87,Office Rent,Marketing,28080.95,946.91,TXN44936,Vendor_37,Manager_5
2024-05-30,Investment,13507.31,Travel,Engineering,13507.31,0.0,TXN84432,Vendor_49,Manager_4
2024-05-30,Revenue,248574.23,Salaries,Marketing,198859.39,49714.85,TXN62984,Vendor_25,Manager_9
2024-05-30,Expense,9722.2,Software/Tools,Sales,10625.42,-903.22,TXN32594,Vendor_25,Manager_7
2024-05-30,Expense,19887.37,Professional Services,Engineering,18091.59,1795.78,TXN60014,Vendor_4,Manager_4
2024-05-30,Revenue,103440.01,Professional Services,HR,82752.01,20688.0,TXN95161,Vendor_8,Manager_2
2024-05-30,Expense,24725.17,Office Rent,HR,25723.91,-998.74,TXN39114,Vendor_28,Manager_8
2024-05-30,Expense,19651.33,Travel,Marketing,20582.41,-931.09,TXN14675,Vendor_43,Manager_6
2024-05-30,Expense,11501.22,Professional Services,Marketing,12362.52,-861.3,TXN99692,Vendor_21,Manager_9
2024-05-30,Expense,23255.51,Marketing,Sales,23649.83,-394.32,TXN49855,Vendor_13,Manager_3
2024-05-30,Expense,4114.43,Equipment,Finance,4253.33,-138.9,TXN43179,Vendor_22,Manager_4
2024-05-30,Expense,17513.44,Office Rent,Sales,16441.73,1071.72,TXN21697,Vendor_5,Manager_6
2024-05-30,Investment,17722.27,Utilities,Sales,17722.27,0.0,TXN11149,Vendor_9,Manager_7
2024-05-30,Expense,75434.09,Marketing,HR,74085.07,1349.02,TXN70309,Vendor_36,Manager_2
2024-05-30,Expense,18633.02,Professional Services,Sales,17421.41,1211.61,TXN96467,Vendor_42,Manager_4
2024-05-30,Expense,2608.35,Miscellaneous,Sales,2843.22,-234.87,TXN20623,Vendor_1,Manager_2
2024-05-30,Investment,44084.53,Equipment,Marketing,44084.53,0.0,TXN63452,Vendor_45,Manager_2
2024-05-30,Expense,4050.52,Miscellaneous,Finance,3799.4,251.13,TXN79020,Vendor_30,Manager_2
2024-05-30,Expense,4116.2,Equipment,Operations,4479.11,-362.91,TXN92839,Vendor_11,Manager_1
2024-05-30,Expense,18094.28,Training,Marketing,16822.49,1271.79,TXN97081,Vendor_39,Manager_2
2024-05-30,Revenue,185202.86,Salaries,Engineering,148162.28,37040.57,TXN42973,Vendor_31,Manager_2
2024-05-30,Expense,13072.66,Professional Services,Operations,12595.93,476.73,TXN34654,Vendor_31,Manager_5
2024-05-30,Expense,3143.06,Equipment,HR,2926.89,216.17,TXN84842,Vendor_34,Manager_1
2024-05-30,Revenue,235522.64,Software/Tools,Engineering,188418.11,47104.53,TXN20603,Vendor_27,Manager_8
2024-05-30,Expense,16740.28,Office Rent,Operations,15376.4,1363.88,TXN50068,Vendor_44,Manager_2
2024-06-29,Expense,16004.9,Software/Tools,Marketing,17252.07,-1247.17,TXN13801,Vendor_18,Manager_7
2024-06-29,Expense,6989.77,Software/Tools,Finance,6564.62,425.16,TXN61694,Vendor_35,Manager_6
2024-06-29,Expense,19602.03,Professional Services,Engineering,17871.72,1730.31,TXN30420,Vendor_21,Manager_6
2024-06-29,Expense,1959.1,Travel,HR,2111.62,-152.52,TXN11662,Vendor_15,Manager_6
2024-06-29,Expense,8181.29,Travel,Marketing,8861.29,-680.0,TXN87431,Vendor_4,Manager_3
2024-06-29,Expense,25422.65,Marketing,Engineering,25632.4,-209.75,TXN46760,Vendor_3,Manager_8
2024-06-29,Revenue,424274.51,Equipment,Finance,339419.61,84854.9,TXN94905,Vendor_9,Manager_8
2024-06-29,Revenue,60989.05,Utilities,Marketing,48791.24,12197.81,TXN18422,Vendor_4,Manager_6
2024-06-29,Expense,165661.69,Salaries,HR,179898.21,-14236.52,TXN45671,Vendor_10,Manager_4
2024-06-29,Expense,2995.53,Software/Tools,Engineering,2953.81,41.73,TXN80210,Vendor_7,Manager_9
2024-06-29,Expense,18830.2,Training,Marketing,20646.56,-1816.36,TXN81092,Vendor_6,Manager_7
2024-06-29,Revenue,305837.74,Miscellaneous,Engineering,244670.19,61167.55,TXN29186,Vendor_29,Manager_8
2024-06-29,Expense,97584.39,Salaries,Engineering,105423.6,-7839.22,TXN29787,Vendor_10,Manager_8
2024-06-29,Investment,99779.3,Training,Marketing,99779.3,0.0,TXN64703,Vendor_3,Manager_9
2024-06-29,Expense,16321.61,Professional Services,Engineering,16432.45,-110.84,TXN63622,Vendor_16,Manager_2
2024-06-29,Expense,193172.97,Salaries,Engineering,184155.56,9017.41,TXN62479,Vendor_42,Manager_8
2024-06-29,Expense,15454.74,Software/Tools,Engineering,14318.25,1136.49,TXN58646,Vendor_28,Manager_9
2024-06-29,Expense,153811.2,Salaries,Sales,152197.62,1613.59,TXN27757,Vendor_1,Manager_3
2024-06-29,Expense,12212.06,Utilities,Sales,11105.42,1106.64,TXN42719,Vendor_38,Manager_8
2024-06-29,Expense,101944.91,Salaries,Operations,108130.47,-6185.56,TXN45301,Vendor_26,Manager_9
2024-06-29,Expense,9547.9,Utilities,Finance,10176.63,-628.74,TXN68171,Vendor_9,Manager_9
2024-06-29,Expense,155317.02,Salaries,Marketing,152058.49,3258.53,TXN33982,Vendor_26,Manager_6
2024-06-29,Expense,7496.67,Utilities,HR,7541.06,-44.39,TXN60296,Vendor_15,Manager_6
2024-06-29,Expense,13218.78,Professional Services,Sales,13713.79,-495.01,TXN32148,Vendor_25,Manager_4
2024-06-29,Expense,70163.64,Marketing,Sales,69208.29,955.34,TXN19525,Vendor_6,Manager_5
2024-06-29,Expense,18393.58,Utilities,Marketing,17403.46,990.11,TXN61826,Vendor_17,Manager_4
2024-06-29,Expense,18019.11,Utilities,Sales,18669.78,-650.67,TXN75045,Vendor_9,Manager_6
2024-06-29,Expense,1648.47,Equipment,Sales,1532.25,116.22,TXN62088,Vendor_28,Manager_6
2024-07-29,Expense,14982.91,Marketing,Engineering,15558.93,-576.02,TXN26296,Vendor_46,Manager_7
2024-07-29,Revenue,271107.52,Software/Tools,Sales,216886.01,54221.5,TXN80156,Vendor_36,Manager_8
2024-07-29,Expense,31396.49,Marketing,Operations,29753.73,1642.75,TXN81067,Vendor_13,Manager_1
2024-07-29,Revenue,172056.75,Office Rent,Marketing,137645.4,34411.35,TXN74263,Vendor_3,Manager_9
2024-07-29,Expense,25617.75,Office Rent,HR,26642.31,-1024.57,TXN73712,Vendor_36,Manager_3
2024-07-29,Expense,1458.67,Miscellaneous,Finance,1385.7,72.97,TXN98035,Vendor_39,Manager_1
2024-07-29,Expense,25951.7,Office Rent,Marketing,26593.44,-641.74,TXN17644,Vendor_24,Manager_1
2024-07-29,Expense,29796.33,Office Rent,Finance,32585.57,-2789.24,TXN46003,Vendor_35,Manager_2
2024-07-29,Expense,1796.78,Professional Services,Marketing,1686.26,110.52,TXN76311,Vendor_15,Manager_6
2024-07-29,Expense,16063.01,Miscellaneous,Operations,17493.65,-1430.65,TXN24756,Vendor_44,Manager_8
2024-07-29,Expense,17993.0,Utilities,HR,16429.95,1563.05,TXN23322,Vendor_26,Manager_8
2024-07-29,Revenue,338881.65,Software/Tools,Marketing,271105.32,67776.33,TXN67483,Vendor_13,Manager_5
2024-07-29,Expense,15942.94,Office Rent,HR,15575.71,367.23,TXN29880,Vendor_19,Manager_7
2024-07-29,Investment,78061.05,Miscellaneous,HR,78061.05,0.0,TXN18969,Vendor_22,Manager_7
2024-07-29,Expense,6958.89,Professional Services,Marketing,7431.15,-472.26,TXN14014,Vendor_31,Manager_9
2024-07-29,Expense,44449.38,Marketing,HR,44608.7,-159.32,TXN12661,Vendor_29,Manager_2
2024-07-29,Investment,68446.04,Utilities,Finance,68446.04,0.0,TXN52280,Vendor_44,Manager_9
2024-07-29,Revenue,296639.09,Miscellaneous,Marketing,237311.27,59327.82,TXN48508,Vendor_46,Manager_3
2024-07-29,Expense,10561.4,Equipment,HR,11445.8,-884.39,TXN94498,Vendor_3,Manager_3
2024-07-29,Revenue,191534.88,Utilities,Sales,153227.9,38306.98,TXN13268,Vendor_26,Manager_3
2024-07-29,Expense,139761.25,Salaries,Marketing,130960.53,8800.72,TXN48557,Vendor_48,Manager_9
2024-07-29,Expense,113034.82,Salaries,Marketing,115179.45,-2144.63,TXN19997,Vendor_14,Manager_1
2024-07-29,Expense,19858.02,Equipment,Finance,21086.78,-1228.76,TXN70952,Vendor_17,Manager_6
2024-07-29,Expense,14892.91,Miscellaneous,HR,14209.76,683.14,TXN13741,Vendor_2,Manager_4
2024-07-29,Expense,15615.75,Equipment,Sales,14550.46,1065.29,TXN68788,Vendor_44,Manager_6
2024-07-29,Revenue,63176.62,Utilities,Sales,50541.3,12635.32,TXN35319,Vendor_39,Manager_1
2024-07-29,Revenue,262051.14,Miscellaneous,HR,209640.91,52410.23,TXN24905,Vendor_14,Manager_9
2024-07-29,Expense,21665.9,Office Rent,Sales,23747.93,-2082.04,TXN39733,Vendor_41,Manager_9
2024-07-29,Revenue,433060.76,Professional Services,Sales,346448.6,86612.15,TXN74322,Vendor_1,Manager_6
2024-07-29,Expense,13686.26,Training,HR,14091.27,-405.02,TXN38972,Vendor_2,Manager_6
2024-07-29,Revenue,347974.41,Utilities,Marketing,278379.53,69594.88,TXN12414,Vendor_17,Manager_8
2024-07-29,Expense,16129.29,Professional Services,Sales,15964.01,165.28,TXN37382,Vendor_31,Manager_1
2024-07-29,Investment,85629.67,Salaries,HR,85629.67,0.0,TXN22097,Vendor_47,Manager_5
2024-07-29,Expense,19407.64,Software/Tools,Marketing,21240.96,-1833.32,TXN12469,Vendor_15,Manager_2
2024-07-29,Revenue,150436.83,Miscellaneous,Finance,120349.47,30087.37,TXN57526,Vendor_15,Manager_7
