date,campaign_name,channel,ad_type,impressions,clicks,conversions,cost,revenue,ctr,conversion_rate,cpc,cpa,roas
2024-01-14,Email_Newsletter,TikTok,Shopping,133511,1949,66,1651.03,15250.28,1.46,3.39,0.85,25.02,9.24
2024-01-14,Black_Friday_2024,Email,Search,46502,3344,48,907.35,22813.76,7.19,1.45,0.27,18.9,25.14
2024-01-14,Product_Launch_Q1,TikTok,Shopping,147446,1801,24,1650.14,6619.38,1.22,1.34,0.92,68.76,4.01
2024-01-14,Product_Launch_Q1,Email,Shopping,80444,1803,21,772.88,9409.93,2.24,1.18,0.43,36.8,12.18
2024-01-14,Summer_Sale_2024,TikTok,Display,267547,3742,75,3414.84,14469.97,1.4,2.03,0.91,45.53,4.24
2024-01-14,Social_Media_Ads,Email,Shopping,282164,8051,324,1698.99,121752.41,2.85,4.03,0.21,5.24,71.66
2024-01-14,Holiday_Campaign,TikTok,Video,247452,7788,178,2661.24,77140.62,3.15,2.29,0.34,14.95,28.99
2024-01-15,Google_Search,Instagram,Shopping,116798,3457,169,1269.43,27385.0,2.96,4.9,0.37,7.51,21.57
2024-01-15,Black_Friday_2024,Instagram,Video,79790,1745,19,762.13,1356.23,2.19,1.11,0.44,40.11,1.78
2024-01-15,Email_Newsletter,LinkedIn,Native,172889,4564,70,3418.09,12973.53,2.64,1.55,0.75,48.83,3.8
2024-01-15,Summer_Sale_2024,LinkedIn,Display,12225,314,7,354.42,3472.7,2.57,2.42,1.13,50.63,9.8
2024-01-16,Brand_Awareness,Instagram,Video,169741,7128,349,2242.63,24493.48,4.2,4.9,0.31,6.43,10.92
2024-01-16,Summer_Sale_2024,Email,Video,242004,6759,133,878.07,31788.66,2.79,1.98,0.13,6.6,36.2
2024-01-16,Email_Newsletter,Facebook,Video,369213,16712,705,4608.48,158858.96,4.53,4.22,0.28,6.54,34.47
2024-01-16,Summer_Sale_2024,Twitter,Video,336068,10064,433,3947.38,34826.03,2.99,4.31,0.39,9.12,8.82
2024-01-16,Social_Media_Ads,Google Ads,Video,110553,2450,33,2998.27,5843.42,2.22,1.38,1.22,90.86,1.95
2024-01-16,Brand_Awareness,TikTok,Shopping,118798,2090,62,987.26,3943.26,1.76,2.97,0.47,15.92,3.99
2024-01-16,Brand_Awareness,Facebook,Native,174581,1777,40,1853.5,15835.99,1.02,2.29,1.04,46.34,8.54
2024-01-17,Email_Newsletter,Email,Native,146817,3464,97,2789.13,10530.67,2.36,2.83,0.81,28.75,3.78
2024-01-17,Google_Search,Twitter,Search,139299,7057,160,2261.33,14459.82,5.07,2.28,0.32,14.13,6.39
2024-01-17,Retargeting_Campaign,Email,Native,144658,3506,40,1799.62,10931.91,2.42,1.16,0.51,44.99,6.07
2024-01-17,Black_Friday_2024,Facebook,Native,45612,1249,57,361.03,10787.05,2.74,4.64,0.29,6.33,29.88
2024-01-17,Product_Launch_Q1,LinkedIn,Display,76622,2072,24,2032.65,3459.67,2.71,1.18,0.98,84.69,1.7
2024-01-18,Holiday_Campaign,Facebook,Display,200690,2666,107,2448.33,8248.84,1.33,4.02,0.92,22.88,3.37
2024-01-18,Google_Search,Instagram,Shopping,460989,11498,566,2724.31,140668.68,2.49,4.93,0.24,4.81,51.63
2024-01-18,Retargeting_Campaign,Twitter,Display,173507,4408,166,596.86,51942.67,2.54,3.78,0.14,3.6,87.03
2024-01-18,Brand_Awareness,Google Ads,Native,277017,6680,167,4996.56,34807.15,2.41,2.51,0.75,29.92,6.97
2024-01-18,Email_Newsletter,Email,Display,70083,1817,86,691.01,28078.37,2.59,4.76,0.38,8.03,40.63
2024-01-18,Summer_Sale_2024,Email,Native,131183,2795,28,1334.71,4785.34,2.13,1.02,0.48,47.67,3.59
2024-01-18,Email_Newsletter,Instagram,Video,294779,14296,468,3398.83,80204.73,4.85,3.27,0.24,7.26,23.6
2024-01-19,Retargeting_Campaign,Email,Native,175427,4016,84,3496.47,7619.6,2.29,2.11,0.87,41.62,2.18
2024-01-19,Retargeting_Campaign,Facebook,Native,204942,4147,185,2377.3,50379.67,2.02,4.46,0.57,12.85,21.19
2024-01-19,Holiday_Campaign,Instagram,Video,342555,13650,658,2703.45,76986.98,3.98,4.82,0.2,4.11,28.48
2024-01-19,Google_Search,Facebook,Search,424930,29045,1144,2857.0,490868.63,6.84,3.94,0.1,2.5,171.81
2024-01-19,Holiday_Campaign,TikTok,Display,367027,4926,90,4472.87,37477.75,1.34,1.83,0.91,49.7,8.38
2024-01-20,Retargeting_Campaign,Google Ads,Native,182903,4506,221,4056.89,30387.18,2.46,4.91,0.9,18.36,7.49
2024-01-20,Product_Launch_Q1,Facebook,Search,406083,13292,192,3791.42,61620.75,3.27,1.45,0.29,19.75,16.25
2024-01-20,Google_Search,Email,Search,178929,5997,255,2584.32,84365.82,3.35,4.25,0.43,10.13,32.65
2024-01-21,Social_Media_Ads,Facebook,Shopping,81374,1586,26,1121.39,6319.56,1.95,1.69,0.71,43.13,5.64
2024-01-21,Retargeting_Campaign,Email,Search,169738,8146,295,1942.44,138993.09,4.8,3.63,0.24,6.58,71.56
2024-01-21,Retargeting_Campaign,Twitter,Display,118520,2442,66,1843.12,27470.1,2.06,2.72,0.75,27.93,14.9
2024-01-22,Summer_Sale_2024,Facebook,Display,244371,6928,341,2531.89,142195.04,2.84,4.93,0.37,7.42,56.16
2024-01-22,Social_Media_Ads,TikTok,Search,424233,20582,795,3822.12,257304.66,4.85,3.87,0.19,4.81,67.32
2024-01-22,Black_Friday_2024,Instagram,Video,223245,5039,118,3129.59,32928.66,2.26,2.36,0.62,26.52,10.52
2024-01-22,Holiday_Campaign,Instagram,Shopping,39278,424,18,539.21,1123.98,1.08,4.43,1.27,29.96,2.08
2024-01-23,Email_Newsletter,Email,Video,621481,15345,260,2679.61,20416.43,2.47,1.7,0.17,10.31,7.62
2024-01-23,Brand_Awareness,Email,Shopping,52496,1181,21,719.14,10484.99,2.25,1.79,0.61,34.24,14.58
2024-01-23,Summer_Sale_2024,Facebook,Video,75225,2751,89,571.85,11178.49,3.66,3.24,0.21,6.43,19.55
2024-01-23,Brand_Awareness,Instagram,Shopping,643145,7019,138,4289.36,42696.08,1.09,1.98,0.61,31.08,9.95
2024-01-23,Social_Media_Ads,Email,Native,662881,15355,566,2878.87,71444.63,2.32,3.69,0.19,5.09,24.82
2024-01-23,Social_Media_Ads,Twitter,Video,276313,13428,192,3074.16,44732.46,4.86,1.43,0.23,16.01,14.55
2024-01-24,Google_Search,Email,Display,19708,298,12,376.9,1989.6,1.51,4.33,1.26,31.41,5.28
2024-01-24,Black_Friday_2024,Google Ads,Display,129008,3051,104,1914.38,15326.91,2.37,3.41,0.63,18.41,8.01
2024-01-24,Retargeting_Campaign,Instagram,Video,197230,6168,72,2889.99,22693.47,3.13,1.17,0.47,40.14,7.85
2024-01-24,Social_Media_Ads,Instagram,Shopping,761838,17805,808,4584.94,146909.52,2.34,4.54,0.26,5.67,32.04
2024-01-24,Holiday_Campaign,Facebook,Shopping,159960,3626,129,2337.56,45430.65,2.27,3.58,0.64,18.12,19.44
2024-01-24,Black_Friday_2024,TikTok,Shopping,58846,1555,56,480.1,27888.43,2.64,3.63,0.31,8.57,58.09
2024-01-24,Summer_Sale_2024,Twitter,Display,279866,7399,357,2420.56,156648.68,2.64,4.83,0.33,6.78,64.72
2024-01-25,Retargeting_Campaign,Instagram,Shopping,553492,9358,214,4386.05,29988.45,1.69,2.3,0.47,20.5,6.84
2024-01-25,Social_Media_Ads,LinkedIn,Shopping,120970,3426,80,2198.63,5093.64,2.83,2.36,0.64,27.48,2.32
2024-01-25,Social_Media_Ads,Twitter,Search,1088223,50634,681,3573.02,316134.75,4.65,1.35,0.07,5.25,88.48
2024-01-25,Email_Newsletter,Email,Video,68911,3166,123,911.62,42912.98,4.6,3.91,0.29,7.41,47.07
2024-01-25,Brand_Awareness,TikTok,Display,86669,932,14,610.01,6453.05,1.08,1.58,0.65,43.57,10.58
2024-01-25,Retargeting_Campaign,Instagram,Video,280661,11046,355,3344.28,95409.32,3.94,3.22,0.3,9.42,28.53
2024-01-25,Social_Media_Ads,LinkedIn,Display,450704,4989,148,4592.8,29411.97,1.11,2.97,0.92,31.03,6.4
2024-01-26,Brand_Awareness,Email,Shopping,135784,2039,48,1100.02,3744.81,1.5,2.39,0.54,22.92,3.4
2024-01-26,Google_Search,LinkedIn,Video,135556,4687,193,3336.86,93667.88,3.46,4.13,0.71,17.29,28.07
2024-01-26,Brand_Awareness,Instagram,Display,380299,7175,77,3132.64,6426.22,1.89,1.08,0.44,40.68,2.05
2024-01-26,Google_Search,Instagram,Shopping,404667,8633,337,2630.85,97991.57,2.13,3.91,0.3,7.81,37.25
2024-01-26,Social_Media_Ads,Email,Search,75658,2887,130,862.29,61036.0,3.82,4.5,0.3,6.63,70.78
2024-01-26,Summer_Sale_2024,TikTok,Shopping,205072,5576,207,1598.17,92377.24,2.72,3.73,0.29,7.72,57.8
2024-01-26,Holiday_Campaign,Twitter,Shopping,187023,3299,74,3413.28,34101.76,1.76,2.25,1.03,46.13,9.99
2024-01-27,Summer_Sale_2024,Instagram,Native,419987,6800,280,3640.74,138578.14,1.62,4.13,0.54,13.0,38.06
2024-01-27,Summer_Sale_2024,Twitter,Search,223866,15690,772,4247.08,298206.55,7.01,4.92,0.27,5.5,70.21
2024-01-27,Google_Search,Google Ads,Native,282765,6144,190,4038.76,52950.21,2.17,3.11,0.66,21.26,13.11
2024-01-28,Google_Search,Email,Native,59738,1305,58,271.25,14606.64,2.19,4.46,0.21,4.68,53.85
2024-01-28,Black_Friday_2024,Twitter,Shopping,158404,1606,58,2955.32,23580.33,1.01,3.67,1.84,50.95,7.98
2024-01-28,Brand_Awareness,Instagram,Shopping,29214,347,4,196.87,1514.33,1.19,1.34,0.57,49.22,7.69
2024-01-29,Retargeting_Campaign,Instagram,Native,516770,14721,329,3167.68,113382.78,2.85,2.24,0.22,9.63,35.79
2024-01-29,Holiday_Campaign,Instagram,Video,155078,7225,136,2270.91,60602.78,4.66,1.89,0.31,16.7,26.69
2024-01-29,Social_Media_Ads,Email,Native,277715,4732,219,4275.95,58774.27,1.7,4.64,0.9,19.52,13.75
2024-01-29,Product_Launch_Q1,Google Ads,Search,51090,3470,83,1470.46,13643.19,6.79,2.4,0.42,17.72,9.28
2024-01-29,Brand_Awareness,Instagram,Display,212448,4184,48,1298.01,2648.72,1.97,1.16,0.31,27.04,2.04
2024-01-30,Black_Friday_2024,Twitter,Video,398127,11728,540,4452.49,235576.68,2.95,4.6,0.38,8.25,52.91
2024-01-30,Google_Search,TikTok,Video,171124,6963,121,1523.36,33008.87,4.07,1.74,0.22,12.59,21.67
2024-01-30,Brand_Awareness,Google Ads,Native,144319,3182,85,3763.65,28317.93,2.21,2.68,1.18,44.28,7.52
2024-01-30,Brand_Awareness,LinkedIn,Display,47121,1086,43,678.03,15591.42,2.31,3.98,0.62,15.77,23.0
2024-01-30,Black_Friday_2024,Email,Shopping,325432,5660,275,3752.6,130149.07,1.74,4.87,0.66,13.65,34.68
2024-01-30,Brand_Awareness,TikTok,Video,327226,11915,518,4343.22,210144.3,3.64,4.35,0.36,8.38,48.38
2024-01-31,Google_Search,Email,Shopping,439198,8926,373,4122.23,71811.26,2.03,4.19,0.46,11.05,17.42
2024-01-31,Email_Newsletter,Email,Search,197355,15076,632,3618.91,297554.63,7.64,4.2,0.24,5.73,82.22
2024-01-31,Product_Launch_Q1,Twitter,Search,281236,17250,799,4607.14,135543.11,6.13,4.64,0.27,5.77,29.42
2024-01-31,Holiday_Campaign,Twitter,Video,233629,7365,306,3046.61,109361.72,3.15,4.16,0.41,9.96,35.9
2024-02-01,Google_Search,Facebook,Display,310847,4242,159,1696.55,78796.3,1.36,3.77,0.4,10.67,46.44
2024-02-01,Google_Search,LinkedIn,Shopping,396654,11234,321,4348.77,155334.79,2.83,2.86,0.39,13.55,35.72
2024-02-01,Product_Launch_Q1,Google Ads,Search,42457,1790,81,1252.2,10360.53,4.22,4.53,0.7,15.46,8.27
2024-02-02,Black_Friday_2024,Email,Shopping,88131,984,40,1225.27,16043.64,1.12,4.07,1.25,30.63,13.09
2024-02-02,Product_Launch_Q1,LinkedIn,Display,149107,2057,49,4050.66,8206.83,1.38,2.4,1.97,82.67,2.03
2024-02-02,Brand_Awareness,TikTok,Native,128937,3295,76,697.3,35648.57,2.56,2.32,0.21,9.17,51.12
2024-02-03,Black_Friday_2024,Instagram,Native,249152,7142,197,3152.61,41061.59,2.87,2.77,0.44,16.0,13.02
2024-02-03,Email_Newsletter,Instagram,Native,268672,7310,214,3873.62,32393.78,2.72,2.93,0.53,18.1,8.36
2024-02-03,Email_Newsletter,Email,Native,182387,2290,69,2040.17,8826.76,1.26,3.02,0.89,29.57,4.33
2024-02-03,Social_Media_Ads,TikTok,Search,410080,28746,479,3562.06,57921.52,7.01,1.67,0.12,7.44,16.26
2024-02-03,Product_Launch_Q1,LinkedIn,Display,356390,4089,193,4583.08,19839.85,1.15,4.74,1.12,23.75,4.33
2024-02-03,Google_Search,Email,Display,279557,4711,226,4654.52,69070.53,1.69,4.82,0.99,20.6,14.84
2024-02-03,Holiday_Campaign,LinkedIn,Native,170881,3665,182,3545.03,21590.92,2.15,4.98,0.97,19.48,6.09
2024-02-04,Black_Friday_2024,TikTok,Search,345568,19517,475,2852.92,83034.86,5.65,2.44,0.15,6.01,29.11
2024-02-04,Google_Search,LinkedIn,Display,152391,4432,97,3323.88,21102.71,2.91,2.19,0.75,34.27,6.35
2024-02-04,Brand_Awareness,Email,Display,1003324,16299,328,3041.76,140371.44,1.62,2.02,0.19,9.27,46.15
2024-02-04,Email_Newsletter,Twitter,Search,228237,8163,192,1981.53,50217.37,3.58,2.36,0.24,10.32,25.34
2024-02-04,Email_Newsletter,Google Ads,Native,49527,975,25,1384.18,7931.98,1.97,2.62,1.42,55.37,5.73
2024-02-04,Social_Media_Ads,Facebook,Video,333012,10432,384,1798.05,159534.73,3.13,3.69,0.17,4.68,88.73
2024-02-04,Product_Launch_Q1,Email,Search,737238,30528,1130,3859.57,156793.69,4.14,3.7,0.13,3.42,40.62
2024-02-05,Retargeting_Campaign,Instagram,Display,145432,4259,64,2169.38,29371.45,2.93,1.51,0.51,33.9,13.54
2024-02-05,Holiday_Campaign,Email,Video,232567,10604,245,1831.7,102295.41,4.56,2.32,0.17,7.48,55.85
2024-02-05,Summer_Sale_2024,Twitter,Display,474958,11505,360,4219.73,145415.88,2.42,3.14,0.37,11.72,34.46
2024-02-05,Retargeting_Campaign,Email,Native,199776,5039,244,3226.86,18613.57,2.52,4.85,0.64,13.22,5.77
2024-02-06,Product_Launch_Q1,Email,Search,124788,6919,288,859.0,23660.64,5.54,4.16,0.12,2.98,27.54
2024-02-06,Retargeting_Campaign,Google Ads,Video,164379,7605,238,3287.25,59540.35,4.63,3.13,0.43,13.81,18.11
2024-02-06,Email_Newsletter,Instagram,Video,758891,36082,1391,3933.38,623697.11,4.75,3.86,0.11,2.83,158.57
2024-02-06,Email_Newsletter,Twitter,Native,336256,7536,363,2551.34,116349.38,2.24,4.83,0.34,7.03,45.6
2024-02-06,Product_Launch_Q1,Email,Display,467763,12042,472,3457.11,145642.98,2.57,3.92,0.29,7.32,42.13
2024-02-07,Google_Search,Email,Shopping,249317,3957,52,4561.35,16907.13,1.59,1.33,1.15,87.72,3.71
2024-02-07,Retargeting_Campaign,LinkedIn,Display,38981,1163,14,804.17,2362.54,2.99,1.28,0.69,57.44,2.94
2024-02-07,Retargeting_Campaign,Email,Shopping,1201429,29621,461,3987.47,195374.46,2.47,1.56,0.13,8.65,49.0
2024-02-07,Email_Newsletter,Twitter,Shopping,129823,3710,148,1450.88,10912.34,2.86,4.01,0.39,9.8,7.52
2024-02-07,Summer_Sale_2024,Email,Video,184134,4548,204,2807.25,81191.23,2.47,4.49,0.62,13.76,28.92
2024-02-08,Summer_Sale_2024,Instagram,Display,20947,538,24,198.02,9144.23,2.57,4.64,0.37,8.25,46.18
2024-02-08,Social_Media_Ads,Email,Video,24652,809,22,437.38,2363.19,3.28,2.82,0.54,19.88,5.4
2024-02-08,Retargeting_Campaign,LinkedIn,Display,122358,2406,38,1651.48,4258.56,1.97,1.59,0.69,43.46,2.58
2024-02-08,Holiday_Campaign,Google Ads,Native,121041,3101,96,3189.3,45654.32,2.56,3.1,1.03,33.22,14.31
2024-02-08,Social_Media_Ads,Instagram,Video,96926,2525,81,1084.11,32843.11,2.61,3.24,0.43,13.38,30.29
2024-02-08,Summer_Sale_2024,TikTok,Video,229756,10657,316,2413.95,65702.12,4.64,2.97,0.23,7.64,27.22
2024-02-09,Product_Launch_Q1,Facebook,Native,385408,6381,280,4132.02,92760.13,1.66,4.4,0.65,14.76,22.45
2024-02-09,Product_Launch_Q1,Email,Display,46900,1179,53,738.35,12382.36,2.52,4.5,0.63,13.93,16.77
2024-02-09,Retargeting_Campaign,TikTok,Search,568844,17961,525,3235.43,211902.83,3.16,2.93,0.18,6.16,65.49
2024-02-09,Social_Media_Ads,Google Ads,Display,215395,2267,110,4273.98,29735.78,1.05,4.89,1.89,38.85,6.96
2024-02-09,Google_Search,Facebook,Native,424020,11646,369,3710.49,91277.46,2.75,3.18,0.32,10.06,24.6
2024-02-10,Social_Media_Ads,Twitter,Video,282660,8415,236,4954.7,14455.35,2.98,2.81,0.59,20.99,2.92
2024-02-10,Brand_Awareness,TikTok,Display,227852,5839,124,2275.21,22465.44,2.56,2.14,0.39,18.35,9.87
2024-02-10,Email_Newsletter,TikTok,Display,367278,7632,146,4132.53,58964.39,2.08,1.92,0.54,28.3,14.27
2024-02-10,Email_Newsletter,Email,Shopping,256494,3827,153,2466.42,51676.26,1.49,4.02,0.64,16.12,20.95
2024-02-10,Product_Launch_Q1,Facebook,Search,244995,19554,270,3156.77,127548.02,7.98,1.38,0.16,11.69,40.4
2024-02-11,Retargeting_Campaign,Facebook,Native,195686,2669,73,2829.67,10346.41,1.36,2.74,1.06,38.76,3.66
2024-02-11,Social_Media_Ads,Google Ads,Search,285252,12094,561,4347.04,125505.87,4.24,4.64,0.36,7.75,28.87
2024-02-11,Google_Search,LinkedIn,Search,119282,4062,156,3060.54,19392.84,3.41,3.86,0.75,19.62,6.34
